[Branch 101 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 17
[Branch 102 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 103 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 104 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 105 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 106 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 107 | Profundidade 4] Job 1 - Op 1 | Máquina: 2 | Início: 5 | Fim: 6 | Makespan parcial: 6
[Branch 108 | Profundidade 5] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 8
[Branch 109 | Profundidade 6] Job 1 - Op 2 | Máquina: 1 | Início: 6 | Fim: 10 | Makespan parcial: 10
[Branch 110 | Profundidade 7] Job 2 - Op 0 | Máquina: 1 | Início: 10 | Fim: 14 | Makespan parcial: 14
[Branch 111 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 14 | Fim: 17 | Makespan parcial: 17
[Branch 112 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 17 | Fim: 18 | Makespan parcial: 18
[Branch 113 | Profundidade 6] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 114 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 115 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 116 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 117 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 118 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 119 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 120 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 121 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 122 | Profundidade 5] Job 1 - Op 2 | Máquina: 1 | Início: 6 | Fim: 10 | Makespan parcial: 10
[Branch 123 | Profundidade 6] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 10
[Branch 124 | Profundidade 7] Job 2 - Op 0 | Máquina: 1 | Início: 10 | Fim: 14 | Makespan parcial: 14
[Branch 125 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 14 | Fim: 17 | Makespan parcial: 17
[Branch 126 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 17 | Fim: 18 | Makespan parcial: 18
[Branch 127 | Profundidade 6] Job 2 - Op 0 | Máquina: 1 | Início: 10 | Fim: 14 | Makespan parcial: 14
[Branch 128 | Profundidade 7] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 14
[Branch 129 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 14 | Fim: 17 | Makespan parcial: 17
[Branch 130 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 17 | Fim: 18 | Makespan parcial: 18
[Branch 131 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 14 | Fim: 17 | Makespan parcial: 17
[Branch 132 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 17 | Fim: 19 | Makespan parcial: 19
[Branch 133 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 17 | Fim: 18 | Makespan parcial: 19
[Branch 134 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 17 | Fim: 18 | Makespan parcial: 18
[Branch 135 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 17 | Fim: 19 | Makespan parcial: 19
[Branch 136 | Profundidade 5] Job 2 - Op 0 | Máquina: 1 | Início: 5 | Fim: 9 | Makespan parcial: 9
[Branch 137 | Profundidade 6] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 9
[Branch 138 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 139 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 140 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 141 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 142 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 143 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 144 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 145 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 146 | Profundidade 6] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 147 | Profundidade 7] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 13
[Branch 148 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 149 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 150 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 151 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 152 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 153 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 154 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 155 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 156 | Profundidade 7] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
